yrwoy,word,count
200911,Einsicht,1
200911,Fristen,1
200911,Grüße,1
200940,IFG,1
201036,BLZ,1
201036,Schönhauser,1
201047,Angabe,1
201047,Anonymisierung,1
201047,E-Mail,1
201047,Erstattungen,2
201047,Personen,1
201047,Unterlagen,1
201105,Ausfuhrverbot,1
201105,Bundes,1
201105,Dokumente,1
201105,Firmen,1
201105,Großhandelsverband,2
201105,Grüße,1
201105,Informationsfreiheitsgesetz,1
201105,Mangelware,1
201105,Ministerium,1
201105,Prüfung,1
201105,Unterlagen,1
201105,Übersendung,1
201131,'',3
201131,02.08.2011,1
201131,13.12.2007,1
201131,AA,1
201131,AMG,1
201131,Abteilung,1
201131,Adresse,49
201131,Akten,3
201131,Akteneinsichtsantrag,1
201131,Alterstruktur,1
201131,Anfragen,1
201131,Anlage,4
201131,Anonymer,17
201131,Antrages,1
201131,Anwendungsbeobachtungen,1
201131,Anzahl,2
201131,Arbeit,4
201131,Arbeitgebers,1
201131,Arbeitnehmer,1
201131,Arbeitsplätze,1
201131,Art,6
201131,Arzneimitteln,1
201131,Atomraketen,1
201131,Aufenthalt,2
201131,Aufgaben/Namen,1
201131,Auflistung,1
201131,Aufrüstung,1
201131,Ausbau,1
201131,Ausdruck,1
201131,Ausland,2
201131,Ausländer,2
201131,Ausnahmeregelung,1
201131,Ausweisfragen,1
201131,Ausweisung,1
201131,Auszubildenen,1
201131,Außenminister,1
201131,Außenpolitik,1
201131,BMELV,1
201131,BVG,1
201131,Bahn,2
201131,Bahnhöfe,1
201131,Bank,2
201131,Basis,2
201131,Begruendung,1
201131,Begründungen,1
201131,Bemuehungen,2
201131,Beobachtungen,3
201131,Berufsausübung,1
201131,Berufsberatung,2
201131,Beschluß,1
201131,Betrages,1
201131,Bewahrung,1
201131,Bewilligung,1
201131,Bodenplatte,2
201131,Borrelia,1
201131,Bundes,5
201131,Bundesagentur,3
201131,Bundesbank,2
201131,Bundesministerium,2
201131,Bundesvereinigungen,1
201131,Bundesverfassungsgericht,1
201131,Bundeswehr,1
201131,Bündnispartner,1
201131,Bürger,6
201131,Chef,1
201131,DDR-Zeiten,1
201131,Damen,15
201131,Delegation,1
201131,Dezember,1
201131,Dienststelle,8
201131,Dienststellen,4
201131,Diplomaten,2
201131,Direktzahlungen,1
201131,Diskussionen,1
201131,Doppelbesteuerungsabkommen,1
201131,Dr.,2
201131,Einhaltung,1
201131,Einkaufsgebiet,1
201131,Einzelzahlungen,1
201131,Elbe,1
201131,Eltern,2
201131,Empfänger,6
201131,Ende,2
201131,Erkenntnissen,1
201131,Euro,4
201131,Evaluierung,1
201131,Exportsubventionen,1
201131,Extremismus,2
201131,FEV,1
201131,Fachkräfte,1
201131,Feuerstättenbescheid,1
201131,Feuerwehr,1
201131,Filter,2
201131,Firma,4
201131,Firmen,1
201131,Folgenabschätzung,1
201131,Foundation,1
201131,Frachkräften,1
201131,Frage,12
201131,Fragekatalog,1
201131,Fragen,3
201131,Fragenkatalog,1
201131,Frauen,1
201131,Friedrich-Naumann-Stiftung,4
201131,Fußgängerbrücke,1
201131,Fähigkeiten,1
201131,G8-Jahrgangs,1
201131,GEBÜHR,1
201131,Gebührenfestlegungen,2
201131,Gemeindeebene,1
201131,Gerichte,1
201131,Gesamtkosten,1
201131,Gesatmkosteaufstellung,1
201131,Gesetz,5
201131,Gesetzesgrundlagen,1
201131,Gesetzgebungsverfahren,1
201131,Gesprächsprotokolls,1
201131,Gewerbe,1
201131,Glückstadt,1
201131,Grundgesetz,3
201131,Grundlage,3
201131,Grundwasser,1
201131,Gruppen,1
201131,Gründen,2
201131,Grünen,1
201131,Grüßen,134
201131,HWK,2
201131,Handel,1
201131,Handwerker,1
201131,Harnverhalten,1
201131,Hauskauf,1
201131,Hecken,1
201131,Herabsetzen,1
201131,Herkunft,1
201131,Hilfe,1
201131,Hilfen,4
201131,Hilfswissenschaftler,1
201131,Holz,2
201131,Holzdorf/Sachsen-Anhalt,1
201131,Hunden,1
201131,IP-Nennungen,1
201131,Infektionswegen,1
201131,Information,4
201131,Inkrafttreten,1
201131,Inland,2
201131,Innenministerkonferenz,1
201131,Institutionen,2
201131,Interesse,3
201131,Interventionsmaßnahme,1
201131,Investitionszuschüssen,1
201131,KIT,1
201131,Kalenderjahr,1
201131,Katzenkot,1
201131,Kenntniss,1
201131,Kernfächern,1
201131,Kinderlichtbildbescheinigung,1
201131,Kindeswohlgefährdungen,1
201131,Klebeband,1
201131,Kontrolle,1
201131,Kontrollen,3
201131,Kontroverse,1
201131,Konzepte,1
201131,Konzernen,1
201131,Kornflasche,1
201131,Kriege/Unterdr,1
201131,Können,1
201131,Körperschaft,2
201131,Landesregierung,1
